dataset,method,num_clusters,sampling,pca,tp,fp,fn,tn,time
var4,kmeans,5,smote,5.0,120452,77113,55695,142328,1.0855143070220947
var4,kmeans,10,smote,5.0,126466,71099,49746,148277,1.8346469402313232
var4,kmeans,30,smote,5.0,134141,63424,57060,140963,4.4968180656433105
var4,kmeans++,5,smote,5.0,118878,78687,44412,153611,1.16249680519104
var4,kmeans++,10,smote,5.0,141019,56546,65518,132505,1.5083003044128418
var4,kmeans++,30,smote,5.0,130008,67557,53401,144622,3.753316879272461
var4,kmeans,5,smote,15.0,167387,30178,100454,97569,2.6186704635620117
var4,kmeans,10,smote,15.0,118695,78870,36717,161306,2.8614869117736816
var4,kmeans,30,smote,15.0,133287,64278,59600,138423,5.88034987449646
var4,kmeans++,5,smote,15.0,167220,30345,101726,96297,2.5148613452911377
var4,kmeans++,10,smote,15.0,140462,57103,63540,134483,3.785965919494629
var4,kmeans++,30,smote,15.0,126565,71000,53034,144989,6.352947473526001
var4,kmeans,5,smote,,135258,62307,52056,145967,2.80212140083313
var4,kmeans,10,smote,,123853,73712,42618,155405,3.355135679244995
var4,kmeans,30,smote,,137486,60079,60773,137250,5.265507221221924
var4,kmeans++,5,smote,,134942,62623,52056,145967,3.570301055908203
var4,kmeans++,10,smote,,111216,86349,33621,164402,4.030995607376099
var4,kmeans++,30,smote,,142630,54935,66786,131237,6.266216993331909
var4,kmeans,5,ros,5.0,149985,47580,79228,118795,1.0804822444915771
var4,kmeans,10,ros,5.0,141304,56261,64823,133200,1.8136382102966309
var4,kmeans,30,ros,5.0,128659,68906,55426,142597,2.9797513484954834
var4,kmeans++,5,ros,5.0,118339,79226,46759,151264,1.1205222606658936
var4,kmeans++,10,ros,5.0,141631,55934,64763,133260,1.3434553146362305
var4,kmeans++,30,ros,5.0,131697,65868,56498,141525,3.325071334838867
var4,kmeans,5,ros,15.0,135215,62350,53640,144383,1.749802589416504
var4,kmeans,10,ros,15.0,139767,57798,59424,138599,2.2071824073791504
var4,kmeans,30,ros,15.0,129808,67757,54743,143280,5.233764886856079
var4,kmeans++,5,ros,15.0,134958,62607,53640,144383,1.6014313697814941
var4,kmeans++,10,ros,15.0,133385,64180,52331,145692,2.297023057937622
var4,kmeans++,30,ros,15.0,129863,67702,58786,139237,4.02807879447937
var4,kmeans,5,ros,,134183,63382,72660,125363,2.3361775875091553
var4,kmeans,10,ros,,151888,45677,72555,125468,2.9763824939727783
var4,kmeans,30,ros,,135794,61771,63694,134329,5.707072496414185
var4,kmeans++,5,ros,,134556,63009,52787,145236,2.7738211154937744
var4,kmeans++,10,ros,,126594,70971,57814,140209,3.1381375789642334
var4,kmeans++,30,ros,,135642,61923,62573,135450,5.0322864055633545
var4,kmeans,5,under,5.0,1378,846,472,1716,0.22947359085083008
var4,kmeans,10,under,5.0,1430,780,563,1639,0.2324962615966797
var4,kmeans,30,under,5.0,1550,699,618,1545,0.25057482719421387
var4,kmeans++,5,under,5.0,1563,666,772,1411,0.21941137313842773
var4,kmeans++,10,under,5.0,1595,572,769,1476,0.2357795238494873
var4,kmeans++,30,under,5.0,1515,675,727,1495,0.2509422302246094
var4,kmeans,5,under,15.0,1485,720,601,1606,0.2719135284423828
var4,kmeans,10,under,15.0,1312,843,521,1736,0.2560844421386719
var4,kmeans,30,under,15.0,1615,648,683,1466,0.30265378952026367
var4,kmeans++,5,under,15.0,1627,550,798,1437,0.25510549545288086
var4,kmeans++,10,under,15.0,1461,767,609,1575,0.26493310928344727
var4,kmeans++,30,under,15.0,1688,526,853,1345,0.34227705001831055
var4,kmeans,5,under,,1488,700,588,1636,0.1309676170349121
var4,kmeans,10,under,,1430,754,550,1678,0.17743897438049316
var4,kmeans,30,under,,1512,683,712,1505,0.18376994132995605
var4,kmeans++,5,under,,1506,653,630,1623,0.1263728141784668
var4,kmeans++,10,under,,1484,699,743,1486,0.13199400901794434
var4,kmeans++,30,under,,1586,639,749,1438,0.18734455108642578
var4,kmeans,5,,5.0,197824,0,2176,0,0.610443115234375
var4,kmeans,10,,5.0,197824,0,2176,0,0.6347150802612305
var4,kmeans,30,,5.0,197824,0,2176,0,1.5384700298309326
var4,kmeans++,5,,5.0,197824,0,2176,0,0.51529860496521
var4,kmeans++,10,,5.0,197824,0,2176,0,0.6230413913726807
var4,kmeans++,30,,5.0,197824,0,2176,0,1.7520625591278076
var4,kmeans,5,,15.0,197824,0,2176,0,0.6734647750854492
var4,kmeans,10,,15.0,197824,0,2176,0,0.9741408824920654
var4,kmeans,30,,15.0,197824,0,2176,0,3.074154853820801
var4,kmeans++,5,,15.0,197824,0,2176,0,0.6105563640594482
var4,kmeans++,10,,15.0,197824,0,2176,0,1.2014994621276855
var4,kmeans++,30,,15.0,197824,0,2176,0,3.142334461212158
var4,kmeans,5,,,197824,0,2176,0,1.1144945621490479
var4,kmeans,10,,,197824,0,2176,0,1.1060724258422852
var4,kmeans,30,,,197824,0,2176,0,3.268111228942871
var4,kmeans++,5,,,197824,0,2176,0,0.8576145172119141
var4,kmeans++,10,,,197824,0,2176,0,2.200004816055298
var4,kmeans++,30,,,197824,0,2176,0,2.6877529621124268
var5,kmeans,5,smote,5.0,126053,71422,84730,113383,1.2928459644317627
var5,kmeans,10,smote,5.0,158645,38830,103723,94390,1.5205554962158203
var5,kmeans,30,smote,5.0,131720,65755,75561,122552,3.7800586223602295
var5,kmeans++,5,smote,5.0,125775,71700,82193,115920,1.257767677307129
var5,kmeans++,10,smote,5.0,158650,38825,103907,94206,1.5382533073425293
var5,kmeans++,30,smote,5.0,154153,43322,97166,100947,2.7973005771636963
var5,kmeans,5,smote,15.0,168700,28775,93083,105030,2.618919849395752
var5,kmeans,10,smote,15.0,152337,45138,63306,134807,3.013516902923584
var5,kmeans,30,smote,15.0,154678,42797,60270,137843,5.043975830078125
var5,kmeans++,5,smote,15.0,117414,80061,41027,157086,2.67895245552063
var5,kmeans++,10,smote,15.0,152027,45448,61107,137006,2.8963725566864014
var5,kmeans++,30,smote,15.0,149292,48183,56497,141616,5.041339159011841
var5,kmeans,5,smote,,170101,27374,90697,107416,3.187619209289551
var5,kmeans,10,smote,,153940,43535,66372,131741,3.8557300567626953
var5,kmeans,30,smote,,152871,44604,60321,137792,6.015365839004517
var5,kmeans++,5,smote,,166533,30942,85173,112940,3.0851221084594727
var5,kmeans++,10,smote,,155079,42396,58243,139870,4.382352113723755
var5,kmeans++,30,smote,,147196,50279,53477,144636,6.545335292816162
var5,kmeans,5,ros,5.0,126359,71116,84435,113678,1.0425565242767334
var5,kmeans,10,ros,5.0,140612,56863,85365,112748,1.3719735145568848
var5,kmeans,30,ros,5.0,139471,58004,83066,115047,3.0894458293914795
var5,kmeans++,5,ros,5.0,149370,48105,97384,100729,1.197068691253662
var5,kmeans++,10,ros,5.0,158688,38787,104363,93750,1.6753425598144531
var5,kmeans++,30,ros,5.0,140559,56916,85380,112733,3.664201021194458
var5,kmeans,5,ros,15.0,168698,28777,94712,103401,1.8773486614227295
var5,kmeans,10,ros,15.0,153611,43864,69400,128713,2.564624547958374
